"","sq1","sq2","sq3","sq4","sq5","sq6","sq7","sq8","sq9","sq10","sq11","sq12","sq13","sq14","sq15","sq16","sq17","sq18","sq19","sq20","sq21","sq22","sq23","sq24","sq25","sq26","sq27","sq28","sq29","sq30","sq31","sq32","sq33","sq34","sq35","sq36","sq37","sq38","sq39","sq40","sq41","sq42","sq43","sq44","sq45","sq46","sq47","sq48","sq49","sq50","sq51","sq52","sq53","sq54","sq55","sq56","sq57","sq58","sq59","sq60","sq61","sq62","sq63","sq64","sq65","sq66","sq67","sq68","sq69","sq70","sq71","sq72","sq73","sq74","sq75","sq76","sq77","sq78","sq79","sq80","sq81","sq82","sq83","sq84","sq85","sq86","sq87","sq88","sq89","sq90","sq91","sq92","sq93","sq94","sq95","sq96","sq97","sq98","sq99","sq100","sq101","sq102","sq103","sq104","sq105","sq106","sq107","sq108","sq109","sq110","sq111","sq112","sq113","sq114","sq115","sq116","sq117","sq118"
"384",596,263,323,136,72,0,0,43,0,0,29,19,118,28,24,44,0,21,0,22,20,0,21,25,0,7,34,0,0,0,0,11,0,7,0,0,11,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"386",666,248,379,252,89,0,0,55,0,0,0,19,144,0,26,52,0,0,0,0,16,0,0,0,17,9,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"389",574,305,390,75,0,558,0,13,0,0,0,33,0,0,0,0,0,0,0,0,11,0,0,0,5,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"394",920,215,274,165,0,0,0,54,217,0,38,23,0,28,0,0,0,0,0,26,17,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"397",803,190,206,119,93,0,0,32,0,0,24,17,180,7,30,23,0,13,0,17,9,0,0,78,0,10,52,0,0,68,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"400",475,245,374,97,0,439,146,20,0,0,0,17,0,0,0,0,52,0,49,0,3,0,0,0,17,9,0,0,0,0,33,0,0,2,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"405",571,486,290,171,81,0,0,50,0,0,0,33,74,0,0,0,0,49,0,0,12,0,0,55,0,13,48,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"408",550,168,421,62,0,521,0,26,0,0,0,9,0,19,19,16,0,0,0,9,15,0,0,0,10,11,0,0,0,0,0,10,0,8,0,0,0,0,0,25,55,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"409",634,343,226,119,80,0,0,42,0,0,23,27,135,17,16,20,0,29,0,15,9,0,16,72,0,18,49,0,0,55,0,0,0,7,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"416",692,236,298,177,107,0,0,48,0,0,0,23,115,21,26,33,6,0,11,20,12,0,0,49,15,0,43,0,0,39,0,0,0,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
