"","site","place","zone","coral_id","square1","square2","square3","coral1","coral2","coral3","notes","X","X.1","square","coral","size"
"97","MSEI","MSE","I",321,71834,76992,77028,2006229,1851208,1911100,"",NA,NA,75284.6666666667,1922845.66666667,102.163999752052
"98","MSEI","MSE","I",310,45241,43132,44364,2070916,1981766,1994495,"",NA,NA,44245.6666666667,2015725.66666667,182.230335174066
"99","MNWI","MNW","I",62,42759,42759,43210,2377799,2347959,2343662,"",NA,NA,42909.3333333333,2356473.33333333,219.670001864396
"100","MSEI","MSE","I",311,65688,65530,63686,2379543,2287374,2414293,"",NA,NA,64968,2360403.33333333,145.327135410253
"101","MNWI","MNW","I",65,49662,49944,49685,2382728,2362885,2383591,"",NA,NA,49763.6666666667,2376401.33333333,191.014970761801
"102","MSEI","MSE","I",297,34128,35008,34263,2557922,2571187,2537783,"",NA,NA,34466.3333333333,2555630.66666667,296.594435149276
"103","MSEI","MSE","I",313,62080,57662,64080,2617337,2653089,2678983,"",NA,NA,61274,2649803,172.980579038418
"104","MNWI","MNW","I",73,24983,26143,26519,2621530,2598922,2578734,"",NA,NA,25881.6666666667,2599728.66666667,401.78690192543
"105","MSEI","MSE","I",316,24616,23856,23562,2796789,2810290,2807729,"",NA,NA,24011.3333333333,2804936,467.268678679513
"106","MNWI","MNW","I",59,21921,22078,23811,2928853,2865237,2926029,"",NA,NA,22603.3333333333,2906706.33333333,514.385429877599
"107","MNWI","MNW","I",98,23946,23360,24012,3094929,3089170,3156203,"multiple corals (largest one was measured)",NA,NA,23772.6666666667,3113434,523.867859446423
"108","MNWI","MNW","I",53,37834,35415,37363,3403825,3406446,3457109,"",NA,NA,36870.6666666667,3422460,371.293530539182
"109","MNWO","MNW","O",104,13298,13064,11672,3463220,3485585,3407250,"Picture found in inner NW folder",NA,NA,12678,3452018.33333333,1089.13656202345
"110","TI","T","I",511,28103,30022,3032,3474128,3558285,3505482,"",NA,NA,20385.6666666667,3512631.66666667,689.235574014422
"111","MNWI","MNW","I",101,12472,12828,13832,3823917,3445517,3400554,"multiple corals (largest one was measured)",NA,NA,13044,3556662.66666667,1090.66625779413
"112","MNWI","MNW","I",51,12404,13280,13182,4076066,3998513,4016403,"",NA,NA,12955.3333333333,4030327.33333333,1244.37626717439
"113","MNWI","MNW","I",70,13440,12170,14698,4540102,4594586,4580954,"",NA,NA,13436,4571880.66666667,1361.08385432172
"114","MNWI","MNW","I",69,33636,35328,33076,4735976,4643970,4676333,"",NA,NA,34013.3333333333,4685426.33333333,551.010544884359
"115","MSEI","MSE","I",301,24432,25458,24000,4795103,481295,4847650,"",NA,NA,24630,3374682.66666667,548.060522398159
"116","MNWI","MNW","I",56,41953,50452,49621,5228153,5210084,5210084,"57960",61005,61599,47342,5216107,440.717079971273
"117","MNWI","MNW","I",57,43238,44000,42016,5540502,5526827,5527870,"",NA,NA,43084.6666666667,5531733,513.568601358565
"118","MNWI","MNW","I",87,9887,10503,10642,6204454,6129603,6108637,"",NA,NA,10344,6147564.66666667,2377.24851765919
"119","MNWO","MNW","O",180,28830,29696,30640,810040,822186,843089,"",NA,NA,29722,825105,111.042998452325
"120","MNWO","MNW","O",116,28611,29679,30618,657930,655315,648777,"",NA,NA,29636,654007.333333333,88.2720115175237
"121","MNWI","MNW","I",96,46604,41796,41580,1444636,1464108,1465998,"",NA,NA,43326.6666666667,1458247.33333333,134.628158178181
