sqs,A1,A10,A11,A12,A2,A3,A5,A6,A7,A9,B1,B10,B11,B12,B2,B3,B4,B6,B7,B9,C1,C10,C11,C3,C4,C5,C6,C7,C8,C9,D1,D10,D11,D12,D3,D5,D6,D7,D8,D9,E1,E10,E11,E12,E2,E3,E4,E5,E6,E7,E9,F1,F10,F11,F12,F2,F3,F4,F5,F6,F7,F8,G1,G10,G11,G12,G2,G3,G4,G5,G6,G7,G8,G9,H1,H10,H11,H12,H2,H3,H6,H7,H8,H9
sq37,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sq38,0,0,25,111,0,0,16,0,0,0,0,173,29,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,13,0,160,0,0,0,0,0,0,0,99,8,23,0,0,0,2,0,0,0,0,42,27,81,0,0,0,0,0,0,0,0,0,30,31,0,0,0,0,0,0,0,0,0,0,373,70,0,0,0,0,0,44
sq39,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,723,0,0,0,0,0,0,0,1,0,0,656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sq40,0,16,253,0,0,1,3,0,17,0,0,0,35,0,44,0,0,0,0,30,0,4,33,0,38,62,0,0,23,0,24,0,25,0,0,39,0,0,46,0,66,0,0,16,39,0,25,0,9,0,19,0,0,7,0,41,22,9,0,0,8,0,8,0,0,0,33,5,35,0,0,21,0,0,0,0,0,0,6,0,40,0,0,0
sq41,0,0,12,5,0,60,9,0,0,0,0,0,26,0,0,459,0,0,0,0,0,0,18,11,0,100,15,0,0,0,0,0,0,10,32,0,0,0,0,0,0,0,3,18,213,0,20,7,49,0,0,0,0,6,19,176,0,17,87,27,0,0,0,0,14,0,10,0,7,0,12,0,0,0,0,0,53,0,0,18,0,0,0,0
sq42,0,10,0,0,34,0,0,0,0,0,0,12,10,0,0,0,0,85,46,684,0,0,0,0,0,0,0,0,0,60,0,5,0,0,0,0,15,53,55,0,24,15,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,14,0,0,0,32,0,0,8,51,0,0,0,47,19,6,23,0,0,0,29,0,0,0,0,0,0,58
sq43,0,105,0,30,0,17,97,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,64,0,0,0,131,0,12,0,0,14,0,0,69,31,0,0,7,8,41,10,0,0,0,0,0,54,64,0,1,0,14,91,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,39,0,29,0,0,0,32,0,35,0,9,27,0
sq44,0,0,0,0,0,0,0,0,0,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sq45,0,13,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,0,57,0,12,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,56,0
sq46,0,0,0,1,0,0,0,0,0,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sq47,0,0,5,0,0,0,5,0,25,0,19,0,3,0,0,5,56,5,0,0,0,0,7,0,0,28,0,0,78,0,0,0,52,42,60,11,0,0,493,17,0,1,11,5,136,27,29,53,4,32,5,0,0,19,0,36,0,24,24,0,0,14,0,0,10,6,13,8,0,0,24,21,13,5,0,0,0,0,0,3,36,0,28,0
sq48,0,0,0,0,0,0,0,0,5,0,0,0,0,0,18,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,248,0,21,0,0,0,0,0,0,0,2,0,0,182,13,0,0,0,0,0,0,0,0,0,275,0,0,0,0,177,8,0,0,0,0,0,0,0,0,0,15,0
sq49,0,0,0,0,0,0,0,0,0,52,127,125,0,0,0,0,0,0,0,91,0,0,0,0,0,0,72,0,0,0,0,0,0,0,182,0,0,0,0,0,126,0,88,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,56,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,166
sq50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,568,369,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sq51,0,0,0,13,21,44,0,0,78,2,0,0,13,0,0,32,0,0,26,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,96,0,16,0,0,137,0,0,0,0,41,0,0,0,51,0,0,32,0,0,8,50,31,0,0,0,0,80,0,0,0,8,24,0,0,16,6,36,18,0,41,39,0,98,0,0,0,0,0,0
sq52,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,28,0,64,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0
sq53,0,12,40,96,0,0,19,0,0,0,0,108,23,6,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,42,45,0,10,0,0,0,0,0,38,7,21,0,0,0,0,0,0,0,0,0,8,33,0,0,0,0,41,0,0,0,0,0,61,0,0,0,0,19,0,0,0,0,0,128,0,0,0,25,0,0,14
sq54,0,49,16,0,0,0,24,0,0,5,0,0,0,0,0,0,0,0,0,258,5,0,0,0,21,0,13,0,0,0,0,15,73,0,0,0,0,0,0,0,0,28,25,0,0,0,0,0,0,0,0,105,0,18,0,0,0,0,0,0,0,0,0,0,0,45,0,28,0,71,0,0,0,0,17,0,37,0,0,0,0,0,47,0
