sq_OTU,A1,A10,A11,A12,A2,A3,A5,A6,A7,A8,A9,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B9,C1,C10,C11,C2,C3,C4,C5,C6,C7,C8,C9,D1,D10,D11,D12,D3,D4,D5,D6,D7,D8,D9,E1,E10,E11,E12,E2,E3,E4,E5,E6,E7,E8,E9,F1,F10,F11,F12,F2,F3,F4,F5,F6,F7,F8,F9,G1,G10,G11,G12,G2,G3,G4,G5,G6,G7,G8,G9,H1,H10,H11,H12,H2,H3,H4,H5,H6,H7,H8,H9
sq33,0,0,0,0,0,0,300,155,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,138,0,0,223,0,0,0,0,0,0,100,144,0,0,85,0,0,0,0,119,133,75,215,0,73,0,0,0,0,0,0,0,0,0,302,0,240,0,285,0,0,0,0,285,196,0,202,129,237,0,223,0,0,0,0,0,0,0,109,0,148,0,166,0
sq35,32,0,0,0,128,0,0,0,87,0,0,693,0,0,0,101,0,0,0,306,0,0,0,0,513,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858,0,0,0,0,0,0,107,0,455,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,113,0,0,0,0,0,0,9,0,0,0,0,0,0,0
sq36,0,75,40,15,0,45,10,15,0,3,0,4,0,0,0,0,8,0,0,0,0,0,24,0,0,16,0,45,17,0,0,5,0,0,3,0,21,0,0,29,16,0,0,0,0,0,14,14,30,0,0,0,13,0,0,0,0,0,0,17,3,0,36,0,0,0,31,15,0,2524,6,0,33,0,21,54,30,30,4,0,0,160,24,21,0,0,15,0,0,32,0,74,0
sq37,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282,1776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sq38,0,0,74,275,0,0,21,0,0,0,0,0,359,142,18,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,30,0,199,0,0,0,0,0,0,0,0,314,16,58,0,0,0,4,0,0,0,0,0,163,79,228,0,0,0,0,0,0,0,0,0,0,111,147,0,0,0,0,0,0,0,0,0,0,849,141,0,0,0,0,0,0,0,57
sq39,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,40,1372,0,0,0,0,0,0,0,0,2,0,0,1504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sq40,0,59,946,0,0,4,6,0,17,164,0,0,0,107,0,76,0,0,0,0,0,0,44,0,11,101,0,0,51,111,0,0,24,0,33,0,37,0,0,0,66,0,0,56,0,154,0,0,46,45,0,36,0,21,0,0,91,0,0,24,0,115,44,17,0,0,11,0,0,14,0,0,0,67,12,77,0,0,84,0,0,0,0,0,0,14,0,0,0,42,0,0,0
sq41,0,0,58,6,0,98,11,0,0,0,0,0,0,123,0,0,616,0,13,0,0,0,0,0,0,44,0,30,0,205,35,0,0,0,0,0,0,12,44,12,0,0,0,0,0,0,0,5,44,241,0,37,34,92,0,0,0,0,0,12,43,469,0,41,165,54,0,0,0,0,0,40,0,17,0,12,0,23,0,0,0,0,0,113,0,0,36,0,0,0,0,0,0
sq42,0,26,0,0,75,0,0,0,0,0,0,0,21,33,0,0,0,0,0,90,48,21,1205,0,0,0,0,0,0,0,0,0,0,155,0,14,0,0,0,0,0,25,81,66,0,53,56,0,0,0,0,0,0,0,0,83,0,0,0,0,0,112,0,26,0,0,0,41,0,0,0,27,144,0,0,0,98,33,17,37,0,0,0,50,0,0,0,0,45,0,0,0,77
sq43,0,363,0,66,0,35,142,0,0,177,0,0,0,0,0,0,0,0,33,0,0,0,0,8,0,0,0,0,87,0,0,0,134,0,18,0,0,17,0,41,0,121,40,0,0,19,22,80,22,0,0,0,0,0,67,0,444,0,4,0,40,237,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,105,0,58,0,0,0,80,0,60,25,0,0,23,27,0
sq44,0,0,0,0,0,0,0,0,0,0,2551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
sq45,0,49,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1023,0,125,0,13,0,0,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,57,0
sq46,0,0,0,3,0,0,0,0,0,0,2492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sq47,0,0,31,0,0,0,7,0,28,21,0,23,0,11,0,0,8,106,26,5,0,0,0,0,0,21,13,0,0,52,0,0,81,0,0,0,78,48,105,0,13,0,0,651,37,0,3,25,14,144,41,55,143,8,36,0,63,0,0,63,0,99,0,55,45,0,0,21,0,0,0,25,25,26,16,0,0,41,44,16,33,0,0,0,0,0,4,10,0,39,0,29,0
sq48,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,27,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,42,0,0,0,0,0,0,0,514,0,22,0,0,0,0,0,0,0,0,6,0,0,526,22,0,0,0,0,0,0,0,0,0,0,631,0,0,0,0,545,11,0,0,0,5,0,0,0,0,0,0,0,15,0
