"","id","Observed","Shannon","InvSimpson","row","col","fullname","sample","full_site","island","site","zone","site_zone"
"65","G11",45,1.5048928253178,3.15842321862189,"G",11,"MSEO_G11",614,"Moorea SE Outer","Moorea","MSE","out","MSEO"
"66","G12",107,1.83048487745666,2.52392771106468,"G",12,"MSEO_G12",632,"Moorea SE Outer","Moorea","MSE","out","MSEO"
"67","G2",83,2.19603271491491,4.44265778299653,"G",2,"MNWI_G2",98,"Moorea NE Inner","Moorea","MNW","in","MNWI"
"68","G3",67,1.70843160917067,3.55077122011157,"G",3,"MNWO_G3",158,"Moorea NE Outer","Moorea","MNW","out","MNWO"
"69","G4",54,1.41306564548509,2.74982756289658,"G",4,"MNWO_G4",179,"Moorea NE Outer","Moorea","MNW","out","MNWO"
"70","G5",94,2.1263937407955,4.46929371751382,"G",5,"TI_G5",516,"Tahiti Inner","Tahiti","TNW","in","TI"
"71","G6",43,1.47822460922035,3.22119633084263,"G",6,"TI_G6",540,"Tahiti Inner","Tahiti","TNW","in","TI"
"72","G7",88,2.27211740417452,4.78865471923918,"G",7,"TO_G7",402,"Tahiti Outer","Tahiti","TNW","out","TO"
"73","G8",63,1.93022561119872,3.44304023130344,"G",8,"TO_G8",425,"Tahiti Outer","Tahiti","TNW","out","TO"
"74","G9",39,0.764928114805075,1.44786052164363,"G",9,"MSEI_G9",305,"Moorea SE Inner","Moorea","MSE","in","MSEI"
"75","H1",105,2.13659124959548,4.41504352497075,"H",1,"MNWI_H1",72,"Moorea NE Inner","Moorea","MNW","in","MNWI"
"76","H10",46,1.39678056161144,2.47595818808142,"H",10,"MSEI_H10",378,"Moorea SE Inner","Moorea","MSE","in","MSEI"
"77","H11",113,2.8227970056516,6.76167318354224,"H",11,"MSEO_H11",616,"Moorea SE Outer","Moorea","MSE","out","MSEO"
"78","H12",118,2.93277789463754,8.65583845320167,"H",12,"MSEO_H12",633,"Moorea SE Outer","Moorea","MSE","out","MSEO"
"79","H2",42,1.21519458680724,2.57344836075629,"H",2,"MNWI_H2",101,"Moorea NE Inner","Moorea","MNW","in","MNWI"
"80","H3",56,1.26593480478733,1.98452057414495,"H",3,"MNWO_H3",159,"Moorea NE Outer","Moorea","MNW","out","MNWO"
"81","H6",46,1.81810912152332,3.86758859235407,"H",6,"TI_H6",545,"Tahiti Inner","Tahiti","TNW","in","TI"
"82","H7",51,1.01287646464357,1.63781693833462,"H",7,"TO_H7",405,"Tahiti Outer","Tahiti","TNW","out","TO"
"83","H8",47,1.61832167855072,2.89827221514583,"H",8,"TO_H8",427,"Tahiti Outer","Tahiti","TNW","out","TO"
"84","H9",35,1.5061871909558,3.25999668929225,"H",9,"MSEI_H9",307,"Moorea SE Inner","Moorea","MSE","in","MSEI"
